Vardas                           Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
Vardas536                     Pavarde536         4         9         7         6         6         2
Vardas537                     Pavarde537         7         1         6         9         9         8
Vardas538                     Pavarde538         3         2         8         8         5         6
Vardas539                     Pavarde539         1         8         7         6         4         7
Vardas540                     Pavarde540         6         1         3         6         4         6
Vardas541                     Pavarde541         3        10         1         4         8         7
Vardas542                     Pavarde542         4         4         7         3         7         3
Vardas543                     Pavarde543         9         2         7         5        10         3
Vardas544                     Pavarde544         7        10         7         5         6         6
Vardas545                     Pavarde545         9         4         4         5         7         6
Vardas546                     Pavarde546         1         6         8         4         3         2
Vardas547                     Pavarde547         5         8         7         8         2         1
Vardas548                     Pavarde548         4         1        10         1         3         2
Vardas549                     Pavarde549         7         3         1        10         5         9
Vardas550                     Pavarde550         7         8        10         1        10         9
Vardas551                     Pavarde551         4         9         7         2         7         9
Vardas552                     Pavarde552         1         2        10         2         8         5
Vardas553                     Pavarde553         7         7         9         7         7         3
Vardas554                     Pavarde554        10        10        10         8         7         1
Vardas555                     Pavarde555         7         2         7         9         7         1
Vardas556                     Pavarde556         4         2         1         5         9         8
Vardas557                     Pavarde557         5         7         8        10         6         8
Vardas558                     Pavarde558         9         1         5         1         9         1
Vardas559                     Pavarde559         4         4         2         4         7         5
Vardas560                     Pavarde560         3        10         3         3         2         6
Vardas561                     Pavarde561         6         2         5         1         7         4
Vardas562                     Pavarde562         9         7         4        10         4         7
Vardas563                     Pavarde563         9         2        10        10         2         6
Vardas564                     Pavarde564         4         9         3         9         2        10
Vardas565                     Pavarde565         2         4         4         1         4         3
Vardas566                     Pavarde566         7         1         7         3         7         3
Vardas567                     Pavarde567         5         3         7         1        10         3
Vardas568                     Pavarde568         5         6         3         3         5        10
Vardas569                     Pavarde569         4         8         8         6         5         4
Vardas570                     Pavarde570         7         5         5         9         2         7
Vardas571                     Pavarde571         1         3         3         5        10         6
Vardas572                     Pavarde572         8         3         1         7         8         7
Vardas573                     Pavarde573         1         7         1         4         2         5
Vardas574                     Pavarde574         6         8         3         3         2         9
Vardas575                     Pavarde575         6         8         9         3         8         7
Vardas576                     Pavarde576         7         3         5         1        10         6
Vardas577                     Pavarde577         6         6         2         4         9         5
Vardas578                     Pavarde578         9         6         5         6         7         7
Vardas579                     Pavarde579         1         4         9         1        10         1
Vardas580                     Pavarde580         8        10         9         8         8         1
Vardas581                     Pavarde581         2         2         2         9         3        10
Vardas582                     Pavarde582         3         7        10         7         5         9
Vardas583                     Pavarde583         8         4         5         8        10         1
Vardas584                     Pavarde584         7         1         7         1         3         6
Vardas585                     Pavarde585         3         7         5         7        10         4
Vardas586                     Pavarde586         8         8         2        10         6        10
Vardas587                     Pavarde587        10         2        10         4         4         7
Vardas588                     Pavarde588         2         9         9         8         7         2
Vardas589                     Pavarde589         9         5         4         8         8         9
Vardas590                     Pavarde590         2         1         1         1         4         8
Vardas591                     Pavarde591        10         8         4        10         5         4
Vardas592                     Pavarde592         7        10         2         2         6         7
Vardas593                     Pavarde593        10         7         5         7         5         5
Vardas594                     Pavarde594         6         8         6        10         1         7
Vardas595                     Pavarde595         9         4         3         8         1         3
Vardas596                     Pavarde596         6         2        10         5         9         1
Vardas597                     Pavarde597         7        10         4         9         6         9
Vardas598                     Pavarde598        10         8         5         4        10         1
Vardas599                     Pavarde599         5         7         2         2        10         9
Vardas600                     Pavarde600        10         8         6         4         6         6
Vardas601                     Pavarde601         1         7         6         6         9         3
Vardas602                     Pavarde602         8         5         5         7         1         4
Vardas603                     Pavarde603         6         9         4         4         3         2
Vardas604                     Pavarde604         7         3         4         7         8         6
Vardas605                     Pavarde605         4        10         4         2         1        10
Vardas606                     Pavarde606        10         9         8         6         7         4
Vardas607                     Pavarde607        10         8         9         8         9         1
Vardas608                     Pavarde608         1         9         3         2         8         7
Vardas609                     Pavarde609         9         3         6         5        10        10
Vardas610                     Pavarde610         6         6         4         6         1        10
Vardas611                     Pavarde611         8         2         7         1         6         4
Vardas612                     Pavarde612         7         4         3         6        10         6
Vardas613                     Pavarde613         7         4         8        10         3         1
Vardas614                     Pavarde614         5         3         7        10         7         9
Vardas615                     Pavarde615         3         7         8         7        10         4
Vardas616                     Pavarde616         4         7         4         6         6        10
Vardas617                     Pavarde617         2         4         3         5         6         7
Vardas618                     Pavarde618         4         1        10         8         4         6
Vardas619                     Pavarde619         3         2         8         3         9         4
Vardas620                     Pavarde620         3         6         5         3         4        10
Vardas621                     Pavarde621         4         5         7         3         4         8
Vardas622                     Pavarde622        10         5         8         9         9         1
Vardas623                     Pavarde623         3         5         3         9         2         1
Vardas624                     Pavarde624         2         5         5         8         5         2
Vardas625                     Pavarde625         8         3         7         2         3         3
Vardas626                     Pavarde626         4         7         7         1         6         1
Vardas627                     Pavarde627         2         4         7         6         1         8
Vardas628                     Pavarde628         7         3         5         4         2         8
Vardas629                     Pavarde629         4         6         6         7         1        10
Vardas630                     Pavarde630         8         5         2         3         2         2
Vardas631                     Pavarde631         2         8         4         6         2         2
Vardas632                     Pavarde632         3         7         1         3         5        10
Vardas633                     Pavarde633         8         6         6         4         7        10
Vardas634                     Pavarde634         4         6        10         7         8         2
Vardas635                     Pavarde635         4         2         4         4         7        10
Vardas636                     Pavarde636         8         2         4         6         5         5
Vardas637                     Pavarde637         7         4         8         2         1         9
Vardas638                     Pavarde638         5         2         5         2         4         9
Vardas639                     Pavarde639         3         1         1         5        10         1
Vardas640                     Pavarde640         2         1         6         3        10         6
Vardas641                     Pavarde641         6         6         1         9        10         6
Vardas642                     Pavarde642         8         7         3         6         5         4
Vardas643                     Pavarde643         3         2         3         7         7         7
Vardas644                     Pavarde644         1         2        10        10         6        10
Vardas645                     Pavarde645         7         3         4         2         3         6
Vardas646                     Pavarde646         8         9         6         4         3         9
Vardas647                     Pavarde647        10         4         9         7         2         7
Vardas648                     Pavarde648         9        10         5         8         7         7
Vardas649                     Pavarde649        10        10         1         5         5         9
Vardas650                     Pavarde650         7         5         8         6         6         3
Vardas651                     Pavarde651         1        10         9         9         4         3
Vardas652                     Pavarde652         5         7         1         1         8         6
Vardas653                     Pavarde653         1         9         2         8        10         8
Vardas654                     Pavarde654         2         8         1         1         1         7
Vardas655                     Pavarde655         9         9         4         6         6         3
Vardas656                     Pavarde656         8         4         2        10         6         7
Vardas657                     Pavarde657         5         6        10         1         9         7
Vardas658                     Pavarde658        10        10         6         6         7         2
Vardas659                     Pavarde659         2         4         6         5         7         4
Vardas660                     Pavarde660         4         1         4         4         7         3
Vardas661                     Pavarde661         3         9         3         8         9         3
Vardas662                     Pavarde662         5         7         3         5        10         6
Vardas663                     Pavarde663         7        10         2         9         2         2
Vardas664                     Pavarde664         3         2         7         1        10         8
Vardas665                     Pavarde665         3         7         4         5         8         5
Vardas666                     Pavarde666         8         1         8         9         1        10
Vardas667                     Pavarde667         3         7         2         7         8         7
Vardas668                     Pavarde668         8         7         7         3         1         8
Vardas669                     Pavarde669         1         7         7         6         7        10
Vardas670                     Pavarde670         8         3         1         7         5         1
Vardas671                     Pavarde671         8         5         6         4         2         4
Vardas672                     Pavarde672         8         8         5         7         6         2
Vardas673                     Pavarde673         3         7         6         8        10         6
Vardas674                     Pavarde674         1         3         7         4         9        10
Vardas675                     Pavarde675         1         7         4         6         2         6
Vardas676                     Pavarde676         8         9         7        10         7         8
Vardas677                     Pavarde677         6         5         8        10         3         5
Vardas678                     Pavarde678         8         6         3         5         6         8
Vardas679                     Pavarde679         8         9         7         1         7         4
Vardas680                     Pavarde680         3         2         9         4         2         3
Vardas681                     Pavarde681        10         9         2         7         3         8
Vardas682                     Pavarde682         4         9         1         2         1        10
Vardas683                     Pavarde683         3         5         2         6         2        10
Vardas684                     Pavarde684        10         4         4         8         9         9
Vardas685                     Pavarde685         2         1         5         8        10        10
Vardas686                     Pavarde686         1        10         5         8         7         2
Vardas687                     Pavarde687         6         3         8         3         2        10
Vardas688                     Pavarde688         2         1         8         2         4         9
Vardas689                     Pavarde689         6         1         5        10         8         3
Vardas690                     Pavarde690         5         7         6         7         2         7
Vardas691                     Pavarde691         3         7         1         8         5         6
Vardas692                     Pavarde692         8         6         3         7         2         9
Vardas693                     Pavarde693         5         2        10         4         2         2
Vardas694                     Pavarde694         7         3         1        10         2        10
Vardas695                     Pavarde695        10         6        10         3         1         7
Vardas696                     Pavarde696        10         5         7        10         3         4
Vardas697                     Pavarde697         4         1         9         1        10         6
Vardas698                     Pavarde698         8        10         4         4         4         3
Vardas699                     Pavarde699         5         4         4         6         2         1
Vardas700                     Pavarde700        10         4         9         8         2         1
Vardas701                     Pavarde701         6         5         2        10         1         8
Vardas702                     Pavarde702         4         5         9         2         8         3
Vardas703                     Pavarde703         3         3         7         3         2         5
Vardas704                     Pavarde704         1         7         8         8         1         9
Vardas705                     Pavarde705         1         2         1         4         1         9
Vardas706                     Pavarde706         5         3         3         4         1         2
Vardas707                     Pavarde707         8         4         5         3         1         8
Vardas708                     Pavarde708         2         9         1         2         5         8
Vardas709                     Pavarde709         3         2         1         4         8         5
Vardas710                     Pavarde710        10         2        10         1         2         7
Vardas711                     Pavarde711        10        10         6         6         8         9
Vardas712                     Pavarde712         1         8         6         3         8         4
Vardas713                     Pavarde713         8         3         3         5         9         7
Vardas714                     Pavarde714        10         8         4         5         9        10
Vardas715                     Pavarde715         3         3         8        10         3         7
Vardas716                     Pavarde716         9         5         4         5         8        10
Vardas717                     Pavarde717         1         8         4         1         2         6
Vardas718                     Pavarde718         9         6        10        10         8         4
Vardas719                     Pavarde719         9         3         7        10         3         3
Vardas720                     Pavarde720         4         2         5         2         5         2
Vardas721                     Pavarde721         7         2         1         3         6         5
Vardas722                     Pavarde722         8         2         4         3         8         6
Vardas723                     Pavarde723         1         9         1         5        10         6
Vardas724                     Pavarde724         1         5         2         9         7         8
Vardas725                     Pavarde725         4         2         6         4         2         9
Vardas726                     Pavarde726         2         5         4         9         4         6
Vardas727                     Pavarde727         1         5         8         2         9         7
Vardas728                     Pavarde728         6         4         5         2         5         3
Vardas729                     Pavarde729         3         3        10        10         3         8
Vardas730                     Pavarde730         9         2         8         6         8         6
Vardas731                     Pavarde731         4        10         4         4         8         8
Vardas732                     Pavarde732         3         4         1        10         4         6
Vardas733                     Pavarde733         4         7         2         9         6        10
Vardas734                     Pavarde734        10         3         3         9         6         7
Vardas735                     Pavarde735         6         3         5         7         5         6
Vardas736                     Pavarde736         4         1         9         9         8         7
Vardas737                     Pavarde737         8         8         1        10         4        10
Vardas738                     Pavarde738         7         6         7         5         5         1
Vardas739                     Pavarde739         8         2         7         1        10        10
Vardas740                     Pavarde740         5         9         8         1         7         5
Vardas741                     Pavarde741         3         4         9         2         5         1
Vardas742                     Pavarde742         7         1         3         5         2        10
Vardas743                     Pavarde743         3         2         1         4        10         5
Vardas744                     Pavarde744        10         9         6         6         3         2
Vardas745                     Pavarde745         9         8         3         6         2         3
Vardas746                     Pavarde746         7         4         1         1         2         6
Vardas747                     Pavarde747         3         4         2         9         9         8
Vardas748                     Pavarde748         8        10         1         6        10         6
Vardas749                     Pavarde749        10         6         8         7         6         4
Vardas750                     Pavarde750        10         7         9         5         2         3
Vardas751                     Pavarde751         7         9         6         6        10         8
Vardas752                     Pavarde752         8         7         1         1        10         3
Vardas753                     Pavarde753         7         6         2         1         1         5
Vardas754                     Pavarde754         5         1         5         9         7         6
Vardas755                     Pavarde755         4         2         9         6         1         2
Vardas756                     Pavarde756        10         6         6        10         2         6
Vardas757                     Pavarde757        10         6        10         6         9         5
Vardas758                     Pavarde758        10         8         4         7         7         4
Vardas759                     Pavarde759         6         7         2        10         6        10
Vardas760                     Pavarde760         1        10         5         7         8         9
Vardas761                     Pavarde761         5         7         4         9         2         4
Vardas762                     Pavarde762        10         1         1         7         1         9
Vardas763                     Pavarde763         9         1         1         9         9         8
Vardas764                     Pavarde764         5         3         1         7         9         6
Vardas765                     Pavarde765         6         3         4        10        10         9
Vardas766                     Pavarde766         1         1         6         3        10         7
Vardas767                     Pavarde767         3         3         8         5         1         8
Vardas768                     Pavarde768         6         2        10         7         9         1
Vardas769                     Pavarde769         1         8         7         2         5         7
Vardas770                     Pavarde770         4         9         3         7        10         3
Vardas771                     Pavarde771         3         9         8         2         4        10
Vardas772                     Pavarde772         8         2        10         8         2         6
Vardas773                     Pavarde773        10         5        10         1         7         8
Vardas774                     Pavarde774         2         5         8         2         6         6
Vardas775                     Pavarde775         8         5         2         5         7         8
Vardas776                     Pavarde776        10         7        10         2         8         3
Vardas777                     Pavarde777         8         1         1         2         5         9
Vardas778                     Pavarde778         8         2         9         4        10        10
Vardas779                     Pavarde779         3         4         7         9        10         7
Vardas780                     Pavarde780        10         4         6        10         5         6
Vardas781                     Pavarde781         4         5         2         4         2         3
Vardas782                     Pavarde782         2         2         3         3         9         6
Vardas783                     Pavarde783         4         5         9         7         7         9
Vardas784                     Pavarde784         2         8         7        10         1         1
Vardas785                     Pavarde785         8         9         9         8         1         9
Vardas786                     Pavarde786         6         3         4         1         3         7
Vardas787                     Pavarde787         5         7         5         5         8         4
Vardas788                     Pavarde788         3         7         4         9         1         7
Vardas789                     Pavarde789         7         4         1         8         8         9
Vardas790                     Pavarde790         6         5         9         1         4         8
Vardas791                     Pavarde791         2         2         7         9         3         7
Vardas792                     Pavarde792         2         9         9         4         6         6
Vardas793                     Pavarde793         3         3         1         9         5         1
Vardas794                     Pavarde794         5        10         1         8         3         4
Vardas795                     Pavarde795         1         3         2         7         8         7
Vardas796                     Pavarde796        10         7         9         8         2         1
Vardas797                     Pavarde797         3         8         9         4         4         3
Vardas798                     Pavarde798         6         7         2         8         5         2
Vardas799                     Pavarde799         2         8         3         2         7         7
Vardas800                     Pavarde800         3         6         2         5        10         2
Vardas801                     Pavarde801         2         9         4         8         4         9
Vardas802                     Pavarde802         9         1         1         8         7         6
Vardas803                     Pavarde803         2        10         6         4         5         7
Vardas804                     Pavarde804         6         1         7         7         4         1
Vardas805                     Pavarde805         2         2         2        10         1         6
Vardas806                     Pavarde806         8         8         4         3        10         9
Vardas807                     Pavarde807         1         8         7         3        10         9
Vardas808                     Pavarde808         6        10         3         1         5         3
Vardas809                     Pavarde809         8        10         8         8         6         7
Vardas810                     Pavarde810         5         1         3         6        10         8
Vardas811                     Pavarde811         4         7         7         4         4         3
Vardas812                     Pavarde812         2         8         2         3         5         6
Vardas813                     Pavarde813         2         4        10         8        10        10
Vardas814                     Pavarde814        10         1         6         6         4         5
Vardas815                     Pavarde815         6         3         9         2         8         8
Vardas816                     Pavarde816         4         5         1         9         1         2
Vardas817                     Pavarde817         6         7         6         6         9         5
Vardas818                     Pavarde818         5         7         1         9         4         6
Vardas819                     Pavarde819         3         8         5         3         7         8
Vardas820                     Pavarde820         6         6         8        10         8         7
Vardas821                     Pavarde821         1         5         8         2         7         7
Vardas822                     Pavarde822         4         4         4         6         9         1
Vardas823                     Pavarde823         6         6         4         5         8        10
Vardas824                     Pavarde824         5         4         4         1        10         6
Vardas825                     Pavarde825         5         5         5         6         9         4
Vardas826                     Pavarde826         1         6         6        10         5         9
Vardas827                     Pavarde827        10         4         4         7         1         3
Vardas828                     Pavarde828         7         7         9         5         7         5
Vardas829                     Pavarde829         8         5         4         5        10         2
Vardas830                     Pavarde830         7         9        10         3         8         3
Vardas831                     Pavarde831         3         1         1         2         3         7
Vardas832                     Pavarde832         2         4         9         4         5         8
Vardas833                     Pavarde833        10        10         2         6         5        10
Vardas834                     Pavarde834         8         8         9         7         2         4
Vardas835                     Pavarde835         2         4         3         7         9         6
Vardas836                     Pavarde836        10        10         7        10         5         1
Vardas837                     Pavarde837         6         3         5         9         2         7
Vardas838                     Pavarde838         5         1         4         5         5         4
Vardas839                     Pavarde839        10         8         2         6         7         6
Vardas840                     Pavarde840         8         2         7         5         9         4
Vardas841                     Pavarde841         6         8         6         9        10         5
Vardas842                     Pavarde842         8         5         4         2         4         6
Vardas843                     Pavarde843         5         1         7         2        10         1
Vardas844                     Pavarde844        10         2         3         9        10         8
Vardas845                     Pavarde845        10         3         8         8         6         7
Vardas846                     Pavarde846         4         7        10         3         9         9
Vardas847                     Pavarde847         2         9         9         2         3         2
Vardas848                     Pavarde848         6        10         4         7         8        10
Vardas849                     Pavarde849         8         7         1        10        10         9
Vardas850                     Pavarde850        10         2        10         7         1        10
Vardas851                     Pavarde851         9         5         6         2         4         1
Vardas852                     Pavarde852         5         7        10         4         5         6
Vardas853                     Pavarde853         1         1         5         4         9         4
Vardas854                     Pavarde854         9         9         6         5         6         4
Vardas855                     Pavarde855         8        10         4         6         7         8
Vardas856                     Pavarde856         4         8         1         6         6         7
Vardas857                     Pavarde857         5         2         9         7         1         4
Vardas858                     Pavarde858         5         2         4        10         1         8
Vardas859                     Pavarde859         1         1         2         6         2         7
Vardas860                     Pavarde860         3         4         5         7         2         2
Vardas861                     Pavarde861         6         5         2         9         2         8
Vardas862                     Pavarde862         9         5         7         9         5         5
Vardas863                     Pavarde863         9         6         2         9         3        10
Vardas864                     Pavarde864         9         3        10         9         3         4
Vardas865                     Pavarde865         5         8         7         6         7         6
Vardas866                     Pavarde866         5         1         5         1         5         5
Vardas867                     Pavarde867         4         5         4         8         3         4
Vardas868                     Pavarde868        10         4         6         5         8         1
Vardas869                     Pavarde869         3         7         4         1        10        10
Vardas870                     Pavarde870         5         4         9         8         3         2
Vardas871                     Pavarde871         3         9         8         3         5         7
Vardas872                     Pavarde872         3         4         5        10         8         3
Vardas873                     Pavarde873        10         7         2         3         8         5
Vardas874                     Pavarde874         8         4         1         4        10         7
Vardas875                     Pavarde875         4         2         8         3         7         9
Vardas876                     Pavarde876         4        10         9         7         6         7
Vardas877                     Pavarde877         1         9         5         2        10         4
Vardas878                     Pavarde878         9         7         8         5         2         2
Vardas879                     Pavarde879         2         3        10         2         7         5
Vardas880                     Pavarde880         9         8         9         6        10         9
Vardas881                     Pavarde881         2         2         2         8         9         9
Vardas882                     Pavarde882         7         3         2         7         3         9
Vardas883                     Pavarde883         2         1        10         8         1         7
Vardas884                     Pavarde884         2         8         1         7         2         4
Vardas885                     Pavarde885        10        10        10         5         9         5
Vardas886                     Pavarde886         9         4         4        10        10         4
Vardas887                     Pavarde887         4         5         5         2         1         6
Vardas888                     Pavarde888         8         3         5         9         9         5
Vardas889                     Pavarde889         2         8         5         8         8         5
Vardas890                     Pavarde890         5         7         7         1         6        10
Vardas891                     Pavarde891         5         7         4         7         3         3
Vardas892                     Pavarde892         3         4         5         9        10         9
Vardas893                     Pavarde893         8         1         2         3         3         3
Vardas894                     Pavarde894         7         7         1         3         6         2
Vardas895                     Pavarde895         5         3         2         3         9         6
Vardas896                     Pavarde896         7         3         2         7         3         7
Vardas897                     Pavarde897         4         4         7         2         5         1
Vardas898                     Pavarde898        10         8         2         3         3         5
Vardas899                     Pavarde899        10         9         9         9         8         8
Vardas900                     Pavarde900         2         6        10         7         1         9
Vardas901                     Pavarde901         1         6        10         8         1         8
Vardas902                     Pavarde902         4         6         5         1         1         6
Vardas903                     Pavarde903         2         4        10         2         9         3
Vardas904                     Pavarde904         9         7         7         7         4         7
Vardas905                     Pavarde905         2         7         3         4        10         8
Vardas906                     Pavarde906         1         3         1         1         1         5
Vardas907                     Pavarde907        10         1         3        10         8         4
Vardas908                     Pavarde908         6         5        10         8         6         1
Vardas909                     Pavarde909         1         1         7         4         7         1
Vardas910                     Pavarde910         1        10         4         2         2         8
Vardas911                     Pavarde911         1         2         4         6         4         4
Vardas912                     Pavarde912         2         4         2         1         2         1
Vardas913                     Pavarde913         8        10         5         6         8         7
Vardas914                     Pavarde914         8         9        10         2         8         6
Vardas915                     Pavarde915         6         4         3         1         4         5
Vardas916                     Pavarde916         6         2         6         6         5         4
Vardas917                     Pavarde917         6         1         7         5         2        10
Vardas918                     Pavarde918         6        10         3        10         9        10
Vardas919                     Pavarde919        10         1         3         3         4         6
Vardas920                     Pavarde920         4         5         3         7         2         6
Vardas921                     Pavarde921         8         9         2         6         9         3
Vardas922                     Pavarde922         2         2         1         3         3        10
Vardas923                     Pavarde923         4        10        10         9         2         6
Vardas924                     Pavarde924        10         2         4         4         7         7
Vardas925                     Pavarde925         8         7         7         3         5         9
Vardas926                     Pavarde926         4         2         1         8         9         2
Vardas927                     Pavarde927         7         5         8         4         4         3
Vardas928                     Pavarde928         7         5         5         7         1         3
Vardas929                     Pavarde929        10        10         5         2         6        10
Vardas930                     Pavarde930         9         7         5         3         8         9
Vardas931                     Pavarde931         9         3        10         4         7         5
Vardas932                     Pavarde932         7         1         7         1        10         2
Vardas933                     Pavarde933         6         2         7         2        10         5
Vardas934                     Pavarde934         3         6         2         1        10         7
Vardas935                     Pavarde935         1         7         2        10         1         3
Vardas936                     Pavarde936         4         8         3         5         7         3
Vardas937                     Pavarde937         8         4         9         5         5         9
Vardas938                     Pavarde938         2         7         8         4         1         9
Vardas939                     Pavarde939         1         3         2         4         2         2
Vardas940                     Pavarde940         1         4         9        10         7         4
Vardas941                     Pavarde941         4         4         2        10         8         4
Vardas942                     Pavarde942         2         6        10        10         6         4
Vardas943                     Pavarde943         7         3         8         9         5         7
Vardas944                     Pavarde944        10        10         2         5         4         1
Vardas945                     Pavarde945         7         9         3         3         5         2
Vardas946                     Pavarde946         8         1         6         4         4         7
Vardas947                     Pavarde947         5         5         3         9        10         3
Vardas948                     Pavarde948         7         3         5         4         2         6
Vardas949                     Pavarde949         6         1         4         9         5         6
Vardas950                     Pavarde950        10        10         6         1         2         4
Vardas951                     Pavarde951         7        10         7         2         9         2
Vardas952                     Pavarde952        10         1         9         9         4         8
Vardas953                     Pavarde953         1         6         9         1         1         6
Vardas954                     Pavarde954         6         4         5         5         9         7
Vardas955                     Pavarde955         2         7         7        10        10         5
Vardas956                     Pavarde956         6         1         8         5         9         1
Vardas957                     Pavarde957         2         4         9         5         9         3
Vardas958                     Pavarde958         2         6        10         7         4         3
Vardas959                     Pavarde959         9         3         7         2         7         1
Vardas960                     Pavarde960        10         6         3         2        10         4
Vardas961                     Pavarde961         4         6         6         4         2         9
Vardas962                     Pavarde962         1         6        10         3         8         6
Vardas963                     Pavarde963         1         8         4         6         4         7
Vardas964                     Pavarde964         9         3         8         5         4        10
Vardas965                     Pavarde965         5         1         7         8         2        10
Vardas966                     Pavarde966         2        10         1         1         1         8
Vardas967                     Pavarde967         5         2        10         5        10         5
Vardas968                     Pavarde968         3         4         9         6         3         3
Vardas969                     Pavarde969         7        10         4         5         8         3
Vardas970                     Pavarde970         2         2         2         3         3         3
Vardas971                     Pavarde971         1         5         7        10         7         5
Vardas972                     Pavarde972         3         8         9         3         8         5
Vardas973                     Pavarde973         5         7         8         8         2         3
Vardas974                     Pavarde974         1         5         8         7         3         7
Vardas975                     Pavarde975         7         2        10         8         3         7
Vardas976                     Pavarde976         9         7         2         8         1         3
Vardas977                     Pavarde977         1         2         6         9         1         6
Vardas978                     Pavarde978         2         4         5         8         3         7
Vardas979                     Pavarde979         9         1         6         7         8         2
Vardas980                     Pavarde980         2         5         4         5         4         4
Vardas981                     Pavarde981        10         1         4        10         8         6
Vardas982                     Pavarde982         1         1         6         3         1         4
Vardas983                     Pavarde983         3         1         8         5         4         3
Vardas984                     Pavarde984         5         8         7         7         3         7
Vardas985                     Pavarde985         7         9         7         5        10         5
Vardas986                     Pavarde986         9         5         9         3         7         3
Vardas987                     Pavarde987         7         5         2        10         1         7
Vardas988                     Pavarde988         7         4         6         5         8         4
Vardas989                     Pavarde989         4         4         6         4         2         6
Vardas990                     Pavarde990         9         3         5         2         2         4
Vardas991                     Pavarde991         3         5         4         2         8        10
Vardas992                     Pavarde992         7         7         3         6        10         4
Vardas993                     Pavarde993         4         4         1         8         5         1
Vardas994                     Pavarde994         6         9         7         6         1         1
Vardas995                     Pavarde995         1         6         8         2         9         6
Vardas996                     Pavarde996         6         8         3         9        10         3
Vardas997                     Pavarde997         4         2         7         9         5         1
Vardas998                     Pavarde998         3         6         9        10         6         4
Vardas999                     Pavarde999        10         4         6         3         9         7
Vardas1000                   Pavarde1000         6         8         6         9         5         3
